IRSZ;nev;utotag;ker
1135;Aba;utca;XIII
1183;Aba;utca;XVIII
1192;Aba;utca;XIX
1116;Abádi;tér;XI
1116;Abádi;utca;XI
1172;Abaliget;utca;XVII
1185;Abaújvár;utca;XVIII
1141;Abavár;utca;XIV
1113;Ábel Jenő;utca;XI
1121;Abigél;utca;XII
1182;Abonyfalva;utca;XVIII
1146;Abonyi;utca;XIV
1122;Abos;lépcső;XII
1122;Abos;utca;XII
1162;Ábra;utca;XVI
1201;Ábrahám Géza;utca;XX
1204;Ábrahám Géza;utca;XX
1237;Ábrahám Géza;köz;XXIII
1029;Ábránd;utca;II
1026;Ábrányi Emil;utca;II
1116;Abroncs;utca;XI
1182;Abrudbánya;utca;XVIII
1211;Acélcső;utca;XXI
1213;Acélmű;utca;XXI
1028;Áchim András;utca;II
1185;Áchim András;utca;XVIII
1194;Áchim András;utca;XIX
1196;Áchim András;utca;XIX
1151;Acsa;utca;XV
1122;Acsády Ignác;utca;XII
1125;Ada;utca;XII
1116;Adács;utca;XI
1038;Ádám;utca;III
1031;Ádámföldi;utca;III
1125;Adonis;utca;XII
1116;Adony;utca;XI
1121;Adorján;köz;XII
1121;Adorján;út;XII
1172;Adorján;utca;XVII
1158;Adria;utca;XV
1148;Adria;sétány;XIV
1022;Ady Endre;utca;II
1024;Ady Endre;utca;II
1039;Ady Endre;utca;III
1044;Ady Endre;utca;IV
1158;Ady Endre;utca;XV
1174;Ady Endre;utca;XVII
1188;Ady Endre;utca;XVIII
1191;Ady Endre;út;XIX
1192;Ady Endre;út;XIX
1191;Ady Endre;út;XIX
1194;Ady Endre;út;XIX
1195;Ady Endre;út;XIX
1196;Ady Endre;út;XIX
1201;Ady Endre;utca;XX
1202;Ady Endre;tér;XX
1203;Ady Endre;utca;XX
1204;Ady Endre;tér;XX
1204;Ady Endre;utca;XX
1211;Ady Endre;út;XXI
1215;Ady Endre;út;XXI
1221;Ady Endre;út;XXII
1025;Áfonya;utca;II
1213;Áfonyás;utca;XXI
1016;Ág;utca;I
1113;Aga;utca;XI
1113;Aga;köz;XI
1221;Ágacska;köz;XXII
1121;Agancs;út;XII
1222;Agár;utca;XXII
1126;Agárdi;út;XII
1173;Ágas;utca;XVII
1213;Aggteleki;utca;XXI
1121;Ágnes;köz;XII
1121;Ágnes;út;XII
1032;Ágoston;utca;III
1163;Ágoston Péter;utca;XVI
1162;Ágota;utca;XVI
1131;Agyag;utca;XIII
1174;Agyagdombi;dűlő;XVII
1223;Agyagfalva;utca;XXII
1108;Agyagfejtő;utca;X
1173;Agyaghegyi;dűlő;XVII
1173;Agyaghegyi;köz;XVII
1171;Agyagos;utca;XVII
1112;Ágyás;utca;XI
1165;Ajak;utca;XVI
1151;Ajándék;utca;XV
1148;Ajka;utca;XIV
1113;Ajnácskő;utca;XI
1183;Ajtony;utca;XVIII
1194;Ajtósi;utca;XIX
1146;Ajtósi Dürer;sor;XIV
1033;Akác;köz;III
1039;Akácfa;utca;III
1072;Akácfa;utca;VII
1073;Akácfa;utca;VII
1162;Akácfa;utca;XVI
1183;Akácfa;utca;XVIII
1201;Akácfa;utca;XX
1204;Akácfa;utca;XX
1214;Akácfa;utca;XXI
1116;Akácillat;utca;XI
1188;Akácos;köz;XVIII
1214;Akácos;sétány;XXI
1188;Akácos;utca;XVIII
1164;Akácos;út;XVI
1173;Akácvirág;köz;XVII
1173;Akácvirág;utca;XVII
1183;Akadály;utca;XVIII
1054;Akadémia;utca;V
1106;Akna;utca;X
1171;Aknász;utca;XVII
1225;Akó;utca;XXII
1162;Ákos;utca;XVI
1183;Ákos mester;utca;XVIII
1188;Akvamarin;utca;XVIII
1116;Alabástrom;utca;XI
1188;Alacskai;út;XVIII
1182;Alacskai;út;XVIII
1016;Aladár;utca;I
1151;Alag;utca;XV
1151;Alagi;tér;XV
1013;Alagút;utca;I
1172;Alapkő;utca;XVII
1163;Albán;utca;XVI
1116;Albert;utca;XI
1119;Albert;utca;XI
1205;Albert;utca;XX
1097;Albert Flórián;út;IX
1237;Albert Gyula;utca;XXIII
1116;Albertfalva;tér;XI
1116;Albertfalva;utca;XI
1101;Albertirsai;út;X
1101;Albertirsai;köz;X
1165;Album;utca;XVI
1165;Album;köz;XVI
1022;Áldás;utca;II
1025;Áldás;utca;II
1163;Aldebrő;utca;XVI
1031;Áldomás;utca;III
1081;Alföldi;utca;VIII
1172;Algír;utca;XVII
1106;Algyógyi;utca;X
1025;Ali;utca;II
1132;Alig;utca;XIII
1117;Alíz;utca;XI
1103;Alkér;köz;X
1103;Alkér;utca;X
1104;Alkér;utca;X
1121;Alkony;út;XII
1012;Alkotás;utca;I
1123;Alkotás;utca;XII
1054;Alkotmány;utca;V
1154;Alkotmány;utca;XV
1204;Alkotmány;utca;XX
1221;Alkotmány;utca;XXII
1162;Állás;utca;XVI
1146;Állatkerti;körút;XIV
1119;Allende;park;XI
1102;Állomás;utca;X
1161;Állomás;utca;XVI
1164;Állomás;tér;XVI
1151;Állomás;köz;XV
1116;Állvány;utca;XI
1122;Alma;utca;XII
1148;Almádi;utca;XIV
1171;Almafa;utca;XVII
1214;Almafa;utca;XXI
1048;Almakerék;utca;IV
1213;Almás;utca;XXI
1031;Almási Balogh Loránd;utca;III
1172;Almásháza;utca;XVII
1037;Almáskert;utca;III
1077;Almássy;tér;VII
1077;Almássy;utca;VII
1192;Almavirág;tér;XIX
1039;Álmos;utca;III
1108;Álmos;utca;X
1183;Álmos;utca;XVIII
1192;Álmos;utca;XIX
1108;Álmos;köz;X
1141;Álmos vezér;útja;XIV
1149;Álmos vezér;útja;XIV
1029;Álmos vezér;utca;II
1141;Álmos vezér;köz;XIV
1141;Álmos vezér;park;XIV
1141;Álmos vezér;udvar;XIV
1144;Álmos vezér;tere;XIV
1125;Álom;utca;XII
1076;Alpár;utca;VII
1183;Alpár;utca;XVIII
1194;Alpár;utca;XIX
1205;Alpár;utca;XX
1183;Alpár;köz;XVIII
1044;Alsó;utca;IV
1074;Alsó;erdősor;VII
1183;Alsó;erdősor;XVIII
1193;Alsó;erdősor;XIX
1201;Alsóhatár;út;XX
1204;Alsóhatár;út;XX
1237;Alsó határ;út;XXIII
1125;Alsó Svábhegyi;út;XII
1025;Alsó zöldmáli;út;II
1204;Alsóapsa;utca;XX
1171;Alsódabas;köz;XVII
1171;Alsódabas;utca;XVII
1239;Alsó-Duna;part;XXIII
1116;Alsóhatár;utca;XI
1016;Alsóhegy;utca;I
1118;Alsóhegy;utca;XI
1118;Alsóhegyi;lépcső;XI
1239;Alsókert;utca;XXIII
1171;Alsókörtvélyes;utca;XVII
1119;Alsókubin;utca;XI
1164;Alsómalom;utca;XVI
1142;Alsóőr;utca;XIV
1172;Alsópetény;utca;XVII
1222;Alsó Sas;utca;XXII
1201;Alsóteleki;utca;XX
1022;Alsó Törökvész;út;II
1021;Alsó Völgy;utca;II
1202;Alvinc;utca;XX
1022;Alvinci;út;II
1223;Alvó;utca;XXII
1037;Ambrózia;utca;III
1135;Ambrus;utca;XIII
1047;Ambrus Zoltán;utca;IV
1145;Amerikai;út;XIV
1031;Amfiteátrum;utca;III
1188;Ametiszt;utca;XVIII
1121;Ámor;utca;XII
1172;Ananász;utca;XVII
1117;Andalgó;utca;XI
1108;Andezit;utca;X
1165;Andocs;tér;XVI
1165;Andocs;utca;XVI
1119;Andor;utca;XI
1119;Andor;köz;XI
1163;András;utca;XVI
1171;Andrásfa;utca;XVII
1171;Andráshida;utca;XVII
1061;Andrássy;út;VI
1062;Andrássy;út;VI
1033;Ángel Sanz Briz;út;III
1224;Angeli;utca;XXII
1225;Angeli;utca;XXII
1148;Angol;utca;XIV
1149;Angol;utca;XIV
1223;Angolna;utca;XXII
1094;Angyal;utca;IX
1091;Angyal István;park;IX
1134;Angyalföldi;út;XIII
1037;Angyalfű;köz;III
1112;Angyalka;utca;XI
1031;Anikó;utca;III
1165;Anilin;utca;XVI
1225;Ánizs;utca;XXII
1121;Anjou;lépcső;XII
1014;Anjou;bástya;I
1045;Ankara;utca;IV
1061;Anker;köz;VI
1014;Anna;utca;I
1162;Anna;utca;XVI
1171;Anna;utca;XVII
1221;Anna;utca;XXII
1044;Anód;utca;IV
1045;Anonymus;utca;IV
1016;Antal;utca;I
1154;Antalfa;utca;XV
1112;Antónia;lépcső;XI
1112;Antónia;utca;XI
1151;Anyácska;utca;XV
1031;Ányos;utca;III
1028;Apáca;utca;II
1051;Apáczai Csere János;utca;V
1112;Apahida;utca;XI
1118;Apahida;utca;XI
1134;Apály;utca;XIII
1033;Apát;utca;III
1083;Apáthy István;utca;VIII
1025;Apáthy-szikla;köz;II
1031;Apátkút;utca;III
1158;Apolló;utca;XV
1011;Apor Péter;utca;I
1124;Apor Vilmos;tér;XII
1152;Aporháza;utca;XV
1023;Apostol;utca;II
1025;Apostol;utca;II
1239;Apostolhegy;dűlő;XXIII
1174;Apponyi;utca;XVII
1237;Apró;utca;XXIII
1013;Apród;utca;I
1188;Ár;utca;XVIII
1028;Arad;utca;II
1039;Aradi;utca;III
